MATRIC,REC,TUT,Notes
A0208795N,R10,T49,
A0210841U,R03,T27,
A0225809Y,R02,T64,
A0226485X,R22,T56,
A0231125X,R18,T63,
A0242274J,R16,T59,
A0244763Y,R15,T53,
A0245908W,R07,T57,
A0252901M,R02,T38,
A0264779H,R21,T25,
A0265832Y,R06,T17,
A0265888A,R05,T31,
A0269208X,R13,T19,
A0270520U,R20,T62,
A0272074H,R13,T61,
A0272123R,R22,T45,
A0273177X,R07,T54,
A0273206L,R22,T48,
A0273291A,R07,T47,
A0273532H,R05,T23,
A0276157W,R22,T09,
A0277373U,R13,T16,
A0277988W,R20,T30,
A0278106A,R23,T65,
A0278124A,R22,T21,
A0281667R,R16,T47,
A0281903E,R03,T12,
A0282336A,R16,T20,
A0286456N,R18,T29,
A0287722W,R14,T41,
A0287733R,R05,T24,
A0288518M,R19,T13,
A0288551U,R08,T34,
A0291585R,R04,T36,
A0291590Y,R15,T52,
A0291595N,R16,T27,
A0291597L,R21,T37,
A0291601M,R08,T22,
A0291603J,R01,T17,
A0291604H,R21,T51,
A0291623E,R19,T04,
A0291627X,R22,T07,
A0291628W,R17,T10,
A0291629U,R11,T49,
A0291630J,R06,T06,
A0291632E,R12,T18,
A0291633A,R06,T39,
A0291707Y,R06,T62,
A0291708X,R22,T59,
A0291731E,R03,T50,
A0291732A,R02,T05,
A0291733B,R05,T05,
A0291743Y,R20,T12,
A0291769J,R11,T53,
A0291772W,R11,T61,
A0291773U,R08,T41,
A0291780X,R15,T56,
A0291783R,R13,T25,
A0291787J,R06,T60,
A0291874N,R15,T56,
A0291879E,R14,T61,
A0291895J,R05,T48,
A0291899B,R18,T22,
A0291902E,R16,T37,
A0291976J,R12,T45,
A0291978E,R20,T45,
A0291979A,R14,T23,
A0291983M,R15,T22,
A0291985J,R01,T41,
A0291986H,R21,T19,
A0291987E,R14,T35,
A0292006M,R17,T44,
A0292009H,R15,T34,
A0292013R,R01,T18,
A0292014N,R01,T64,
A0292017J,R12,T65,
A0292018H,R17,T45,
A0292027H,R21,T34,
A0292030U,R19,T31,
A0292031R,R14,T14,
A0292049Y,R02,T32,
A0292050N,R18,T28,
A0292052L,R12,T11,
A0292055E,R03,T57,
A0292056A,R17,T21,
A0292060M,R21,T29,
A0292066B,R04,T52,
A0292067Y,R12,T52,
A0292071J,R13,T13,
A0292080J,R10,T01,
A0292095X,R12,T50,
A0292106L,R13,T03,
