Matric,Add,Drop,Remarks
A0311780L,,,Appeal Withdrawn
A0310630Y,,,Appeal Withdrawn
A0309552A,T57,T43,
A0307799H,T43,T57,
A0307671A,T58,T33,
A0308357Y,T33,T58,
A0308356B,T26,T18,
A0306930J,T18,T26,
A0307366B,T02,T44,
A0299870H,T44,T02,
A0309115M,T01,T25,
A0300217Y,T25,T01,
A0308351L,T64,T50,"Approved, no change in balance."
A0303213B,T31,N/S,
A0302619J,T31,T23,
A0308225L,T38,N/S,
A0302774E,T05,N/S,
A0305711R,T24,N/S,
A0309250M,T30,T31,
A0301907L,T47,T51,
A0308506H,T24,T17,
A0301033E,T20,T24,
A0308811J,T51,T49,
A0307974R,T36,T30,
A0303017X,T38,T39,
A0309021W,T39,T38,
A0309461E,T36,N/S,Manual allocation: coursereg appeal. 
,,,
,,,
A0301185N,,,"Cannot yet approve, balance reasons"
A0308345E,,,"Cannot yet approve, balance reasons"
A0300426W,,,"Cannot yet approve, balance reasons"
A0291585R,,,"Cannot yet approve, balance reasons"
