Matric,Timeslot
A0208795N,WED 9AM-11AM
A0210841U,TUE 11AM-1PM
A0225809Y,WED 10AM-12PM
A0226485X,WED 9AM-11AM
A0231125X,WED 10AM-12PM
A0242274J,WED 11AM-1PM
A0244763Y,TUE 12PM-2PM
A0245908W,WED 11AM-1PM
A0252901M,TUE 2PM-4PM
A0264779H,TUE 9AM-11AM
A0265832Y,TUE 9AM-11AM
A0265888A,TUE 3PM-5PM
A0269208X,TUE 11AM-1PM
A0270520U,WED 10AM-12PM
A0272074H,WED 11AM-1PM
A0272123R,TUE 12PM-2PM
A0273177X,TUE 2PM-4PM
A0273206L,TUE 1PM-3PM
A0273291A,TUE 11AM-1PM
A0273532H,TUE 3PM-5PM
A0276157W,TUE 9AM-11AM
A0277373U,TUE 4PM-6PM
A0277988W,TUE 2PM-4PM
A0278106A,WED 10AM-12PM
A0278124A,TUE 1PM-3PM
A0281667R,TUE 11AM-1PM
A0281903E,TUE 12PM-2PM
A0282336A,TUE 12PM-2PM
A0286456N,TUE 1PM-3PM
A0287722W,WED 9AM-11AM
A0287733R,TUE 4PM-6PM
A0288518M,TUE 1PM-3PM
A0291585R,TUE 10AM-12PM
A0291590Y,TUE 10AM-12PM
A0291595N,TUE 11AM-1PM
A0291597L,TUE 12PM-2PM
A0291601M,TUE 2PM-4PM
A0291603J,TUE 9AM-11AM
A0291604H,WED 11AM-1PM
A0291623E,TUE 12PM-2PM
A0291627X,TUE 3PM-5PM
A0291628W,TUE 10AM-12PM
A0291629U,WED 9AM-11AM
A0291630J,TUE 2PM-4PM
A0291632E,TUE 10AM-12PM
A0291633A,TUE 4PM-6PM
A0291707Y,WED 10AM-12PM
A0291708X,WED 11AM-1PM
A0291731E,WED 10AM-12PM
A0291732A,TUE 1PM-3PM
A0291733B,TUE 1PM-3PM
A0291743Y,TUE 12PM-2PM
A0291769J,TUE 12PM-2PM
A0291772W,WED 11AM-1PM
A0291773U,WED 9AM-11AM
A0291780X,WED 9AM-11AM
A0291783R,TUE 9AM-11AM
A0291787J,WED 9AM-11AM
A0291874N,WED 9AM-11AM
A0291879E,WED 11AM-1PM
A0291895J,TUE 1PM-3PM
A0291899B,TUE 2PM-4PM
A0291902E,TUE 12PM-2PM
A0291976J,TUE 12PM-2PM
A0291978E,TUE 12PM-2PM
A0291979A,TUE 3PM-5PM
A0291983M,TUE 2PM-4PM
A0291985J,WED 9AM-11AM
A0291986H,TUE 11AM-1PM
A0291987E,WED 11AM-1PM
A0292006M,TUE 10AM-12PM
A0292009H,WED 10AM-12PM
A0292013R,TUE 10AM-12PM
A0292014N,WED 10AM-12PM
A0292017J,WED 10AM-12PM
A0292018H,TUE 12PM-2PM
A0292027H,WED 10AM-12PM
A0292030U,TUE 3PM-5PM
A0292031R,TUE 2PM-4PM
A0292049Y,TUE 4PM-6PM
A0292050N,TUE 12PM-2PM
A0292052L,TUE 11AM-1PM
A0292055E,WED 11AM-1PM
A0292056A,TUE 1PM-3PM
A0292060M,TUE 1PM-3PM
A0292066B,TUE 10AM-12PM
A0292067Y,TUE 10AM-12PM
A0292071J,TUE 1PM-3PM
A0292080J,TUE 9AM-11AM
A0292095X,WED 10AM-12PM
A0292106L,TUE 11AM-1PM
A0292107J,TUE 12PM-2PM
A0292160L,WED 10AM-12PM
A0292565U,WED 11AM-1PM
A0292688H,TUE 2PM-4PM
A0299729B,TUE 12PM-2PM
A0299743J,TUE 1PM-3PM
A0299761J,TUE 4PM-6PM
A0299762H,WED 9AM-11AM
A0299768W,WED 10AM-12PM
A0299771H,TUE 11AM-1PM
A0299791A,TUE 12PM-2PM
A0299806J,TUE 10AM-12PM
A0299817E,TUE 9AM-11AM
A0299828B,WED 9AM-11AM
A0299829Y,TUE 10AM-12PM
A0299832L,TUE 2PM-4PM
A0299837B,WED 10AM-12PM
A0299840M,TUE 10AM-12PM
A0299844E,WED 9AM-11AM
A0299870H,TUE 10AM-12PM
A0299876W,TUE 11AM-1PM
A0299890A,TUE 9AM-11AM
A0299905J,TUE 4PM-6PM
A0299935A,TUE 9AM-11AM
A0299936B,TUE 4PM-6PM
A0299940L,TUE 11AM-1PM
A0299942H,TUE 4PM-6PM
A0299948W,WED 10AM-12PM
A0299951H,TUE 4PM-6PM
A0299959R,WED 11AM-1PM
A0300007E,TUE 1PM-3PM
A0300020N,TUE 2PM-4PM
A0300021M,TUE 10AM-12PM
A0300025E,TUE 4PM-6PM
A0300034E,TUE 1PM-3PM
A0300037Y,TUE 3PM-5PM
A0300049U,TUE 3PM-5PM
A0300057W,TUE 11AM-1PM
A0300064Y,TUE 4PM-6PM
A0300066W,WED 11AM-1PM
A0300075W,TUE 11AM-1PM
A0300089L,TUE 2PM-4PM
A0300095R,TUE 11AM-1PM
A0300102M,TUE 1PM-3PM
